Wall time,Step,Value
1741702670.130956,4899,0.4398624300956726
1741702673.5353136,4949,0.531402051448822
1741702676.260084,4989,0.39967384934425354
1741702681.7004757,5039,0.4796726107597351
1741702685.794245,5099,0.4126342535018921
1741702686.4929664,5109,0.4327259063720703
1741702687.1840336,5119,0.4184532165527344
1741702687.8724105,5129,0.4487118124961853
1741702688.5679884,5139,0.4601423144340515
1741702689.251185,5149,0.7661781311035156
1741702691.299818,5179,0.5009894967079163
1741702693.9733129,5189,0.45782944560050964
1741702694.6540105,5199,0.42242351174354553
1741702706.2695746,5339,0.5418422222137451
1741702706.9514213,5349,0.5253261923789978
1741702708.3129263,5369,0.4377453327178955
1741702708.996083,5379,0.39685893058776855
1741702709.677425,5389,0.48149725794792175
1741702711.0388114,5409,0.42110469937324524
1741702712.3992074,5429,0.5259417295455933
1741702713.7606666,5449,0.5643696188926697
1741702715.1160967,5469,0.40620100498199463
1741702715.7960262,5479,0.43096134066581726
1741702719.872638,5509,0.48133793473243713
1741702721.2384112,5529,0.4870830774307251
1741702723.2845964,5559,0.5051941871643066
1741702723.9643266,5569,0.4931592345237732
1741702728.0478048,5629,0.5584122538566589
1741702728.7269018,5639,0.4803451895713806
1741702729.4039402,5649,0.4368288516998291
1741702734.1330779,5689,0.3802374601364136
1741702736.1803684,5719,0.6177517771720886
1741702737.543321,5739,0.3803046941757202
1741702739.586105,5769,0.4591546356678009
1741702744.2537792,5809,0.5146674513816833
1741702746.9823878,5849,0.5749468207359314
1741702747.664665,5859,0.42889276146888733
1741702749.7058175,5889,0.40577295422554016
1741702751.0667026,5909,0.5665631294250488
1741702751.7470875,5919,0.5224969387054443
1741702753.782932,5949,0.4457395374774933
1741702757.2308536,5969,0.43861401081085205
1741702758.595127,5989,0.5063989162445068
1741702759.2787647,5999,0.3673769533634186
1741702761.3221593,6029,0.4430975615978241
1741702762.0046115,6039,0.397954523563385
1741702765.4401133,6089,0.3824724853038788
1741702771.0360785,6139,0.42955800890922546
1741702771.718705,6149,0.703894853591919
1741702773.0830886,6169,0.5305158495903015
1741702775.816642,6209,0.3509192168712616
1741702777.1781993,6229,0.5975574851036072
1741702777.8606663,6239,0.39251160621643066
1741702779.898281,6269,0.3847461938858032
1741702783.4035053,6289,0.38316139578819275
1741702784.0874248,6299,0.3666631579399109
1741702786.8089387,6339,0.42149826884269714
1741702789.5272717,6379,0.5071693658828735
1741702791.5643942,6409,0.595923662185669
1741702792.2422366,6419,0.36008015275001526
1741702792.920205,6429,0.49862828850746155
1741702795.6447165,6439,0.3786739110946655
1741702796.328468,6449,0.46780815720558167
1741702799.7344096,6499,0.3833387494087219
1741702801.0991871,6519,0.3625204861164093
1741702801.782228,6529,0.44454899430274963
1741702803.146832,6549,0.46473610401153564
1741702803.827487,6559,0.4702851474285126
1741702805.859929,6589,0.554850697517395
1741702809.3005247,6609,0.34302210807800293
1741702814.1418579,6679,0.4688315689563751
1741702816.2105503,6709,0.4612759053707123
1741702821.9739437,6759,0.3718828856945038
1741702822.6585634,6769,0.358560174703598
1741702825.3813193,6809,0.4154191315174103
1741702828.1062794,6849,0.49175044894218445
1741702830.1481533,6879,0.36477532982826233
1741702835.6576138,6929,0.6337968111038208
1741702837.0177817,6949,0.47328630089759827
1741702838.3815613,6969,0.38602519035339355
1741702839.0637069,6979,0.36203762888908386
1741702840.4245265,6999,0.3900968134403229
1741702842.4683259,7029,0.48694533109664917
1741702844.5027153,7059,0.4271017611026764
1741702850.1684015,7109,0.41282132267951965
1741702853.6780262,7159,0.388106107711792
1741702855.0778956,7179,0.3507755994796753
1741702857.1480646,7209,0.5746661424636841
1741702857.8344083,7219,0.3934325873851776
1741702861.213719,7239,0.37601718306541443
1741702862.5752661,7259,0.5085545778274536
1741702863.2555118,7269,0.4620879590511322
1741702864.617264,7289,0.4113651514053345
1741702865.2956662,7299,0.399406373500824
1741702866.6568775,7319,0.5496974587440491
1741702867.3370438,7329,0.5075432062149048
1741702868.0162432,7339,0.37462106347084045
1741702873.3631718,7389,0.44571202993392944
1741702876.0891702,7429,0.40136104822158813
1741702877.451582,7449,0.41150447726249695
1741702887.5943472,7569,0.3945993483066559
1741702888.9608243,7589,0.4757669270038605
1741702893.044294,7649,0.37485072016716003
1741702893.7237296,7659,0.38227441906929016
1741702898.4726028,7699,0.3390388488769531
1741702900.513439,7729,0.40422943234443665
1741702902.5569434,7759,0.36830198764801025
1741702903.2372818,7769,0.39217737317085266
1741702904.6047552,7789,0.3791969418525696
1741702905.2842498,7799,0.5150688886642456
1741702905.9654772,7809,0.40914690494537354
1741702907.3193939,7829,0.3643859624862671
1741702913.4456162,7889,0.5028975009918213
1741702926.3729446,8049,0.4672151207923889
1741702927.05314,8059,0.3239159882068634
1741702927.7347558,8069,0.41739463806152344
1741702928.4144912,8079,0.4033581018447876
1741702930.459526,8109,0.5030472278594971
1741702937.9550943,8189,0.5134011507034302
1741702938.6447673,8199,0.3873893618583679
1741702944.8161633,8289,0.34026217460632324
1741702949.694727,8329,0.3639583885669708
1741702950.3752966,8339,0.3516214191913605
1741702951.7431417,8359,0.42824631929397583
1741702952.4252331,8369,0.4007647931575775
1741702954.4758987,8399,0.3040572702884674
1741702955.1585164,8409,0.3968380391597748
1741702957.2017598,8439,0.3321344256401062
1741702958.5617208,8459,0.3960753083229065
1741702964.0272067,8509,0.359485000371933
1741702964.7118437,8519,0.33295461535453796
1741702968.8052807,8579,0.3375633955001831
1741702970.8487294,8609,0.3180174231529236
1741702972.2023394,8629,0.35847246646881104
1741702976.4171672,8659,0.33525240421295166
1741702977.0996516,8669,0.3186338245868683
1741702979.834758,8709,0.3406391739845276
1741702980.5166605,8719,0.34381067752838135
1741702991.4275155,8849,0.3203888535499573
1741702992.7895217,8869,0.3679024279117584
1741702995.516632,8909,0.3199597895145416
1741702996.8698523,8929,0.4409019649028778
1741703000.9552553,8959,0.30379796028137207
1741703002.3204918,8979,0.38047221302986145
1741703003.0005867,8989,0.39432111382484436
1741703005.0481224,9019,0.38674911856651306
1741703005.72852,9029,0.31265273690223694
1741703009.1327348,9079,0.4100923240184784
1741703009.8096359,9089,0.40167808532714844
1741703013.2375941,9109,0.35187968611717224
1741703013.918783,9119,0.3497006595134735
1741703018.6880095,9189,0.34879520535469055
1741703019.3694348,9199,0.36046579480171204
1741703020.7315743,9219,0.4027441143989563
1741703027.5826387,9289,0.31637686491012573
1741703028.9476125,9309,0.33652055263519287
1741703029.6276114,9319,0.4556601345539093
1741703030.3095517,9329,0.3603186011314392
1741703035.0887465,9399,0.2922724783420563
1741703039.3554757,9429,0.6336833238601685
1741703041.4019678,9459,0.30026814341545105
1741703044.1250396,9499,0.47704407572746277
1741703046.1636145,9529,0.3002299964427948
1741703048.197829,9559,0.38179811835289
1741703053.6525939,9609,0.34980589151382446
1741703055.692756,9639,0.32856032252311707
1741703057.0531886,9659,0.32176992297172546
1741703058.4146895,9679,0.3563726246356964
1741703059.0941556,9689,0.3386477828025818
1741703068.1696935,9789,0.3275914490222931
1741703068.8486912,9799,0.4029518663883209
1741703070.8900604,9829,0.3062219023704529
1741703073.6076767,9869,0.4186660051345825
1741703078.4294167,9909,0.4335305392742157
